serial,term,reading,meaning,pos,source_scope,source_type,notes
324,地理,ちり,[名] 地理；地理情况,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
325,終わり,おわり,[名] 终，终了，末尾，末了，结束，结局，终点，尽头；末期,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
325,散る,ちる,"[自动·五段] 落；谢，凋谢；散,分散；离散；四散；飞溅，消散；消；止；洇； 涣散，散漫，不专一",自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
326,終わる,おわる,[自他动·五段] 完，完毕，结束，告终，终了；死，死亡；以…告终（以「··· に終わる」的形式）；以…而结束（以「…で終わる」的形式）；……完；做完,自他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
326,つい,つい,[副词] 不知不觉（地），无意中；不由得，不禁；相隔不远，就在眼前,副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
327,音楽,おんがく,[名] 音乐,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
327,序でに,ついでに,[副词] 顺便，就便，顺手,副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
328,温泉,おんせん,[名] 温泉,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
328,掴む,つかむ,[他动·五段] 抓；抓住，揪住；抓住；掌握住；了解到；获得,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
329,温度,おんど,[名] 温度，热度,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
329,遂に,ついに,[副词] 终于；［下接否定］最后也（没）…,副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
330,女,おんな,[名] 女人，妇女，女性，女子，女士，女同志；成年女子,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
330,通訳,つうやく,[名·自他动·サ变] 翻译，口译，口译者，译员,名·自他动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
331,科,か,[名] 专业，系；科；生物分类,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
331,通じる,つうじる,"[自他动·一段] 畅通；通到,通往；通晓，精通；熟悉；领会；了解，理解；懂 得；私通；使（对方）理解，告知将自己的心情或想法等告诉对方",自他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
332,貝,かい,[名] 蛤蜊，贝，海螺，贝壳,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
332,使う,つかう,[他动·五段] 使，用，使用；使用(人)；雇佣；花费；[物を]消费；说，使用(某种 语言)；摆弄，耍弄，玩弄；吃(饭盒的饭)；洗(澡、脸)；扇(扇子)；赠送；给,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
333,階,かい,[名] （楼房的）层多层建筑的一层；阶区分地质年代的“期”时间内形成的地层； 层计算建筑物楼层数的量词,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
333,通勤,つうきん,[名·自动·サ变] 上下班，通勤,名·自动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
334,回,かい,[名] 回，次,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
334,捕まえる,つかまえる,[他动·一段] 抓住（……不放）揪住；捉住，逮住；捕捉；揪住，抓住，揪住，捉 住，逮住，捕捉,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
335,海岸,かいがん,[名] 海岸，海滨，海边。陆地与海洋相连接的地带,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
335,付く,つく,[自动·五段] 附上；附着，粘附，沾上；生，长；长进，增添，提高；跟随，伴 同；跟着；服侍，照料，护理，保卫；（火源或电源）开，着,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
336,会議,かいぎ,[名] 会议，会（ 多人有明确目的的集中交流）,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
336,着く,つく,[自动·五段] 到，到达，抵达；寄到；运到；达到；够着,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
337,解決,かいけつ,[名·自他动·サ变] 解决,名·自他动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
337,突く,つく,[他动·五段] 冒，頂；扎，刺，戳，撞，顶；攻击，袭击；用细长物体的端部顶 着，撑着；强烈刺激感情和感觉器官；用图章做记号,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
338,外交,がいこう,[名] 外交与外国的交往、交涉；对外事务，外交、外勤（人员）在银行、公司等中 因推销、交涉的需要而外出，亦指其人员；对外联系,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
338,継ぐ,つぐ,[他动·五段] 连接，连上；继续；添加，续上；继承，承袭,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
339,外国,がいこく,[名] 外国，国外，外洋。,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
339,月,つき,[名] 月亮；月光；月份；妊娠期,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
340,会社,かいしゃ,[名] 公司,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
340,次,つぎ,[名] 下次，下回；其次，第二；下一（个）；下面；接着；次，第二其次，次等； 隔壁，邻室；驿站；接二连三（地）；接连不断（地）,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
341,会場,かいじょう,[名] 会场，承载会议等集体活动的物理地点。,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
341,次々,つぎつぎ,[副词] 连续不断、络绎不绝,副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
342,階段,かいだん,[名] 台阶，楼梯，阶梯；等级，阶段,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
342,月日,つきひ,[名·惯用] 月亮和太阳；时光，岁月，光阴；月日，日期；惯用句,名·惯用,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
343,開発,かいはつ,[名·他动·サ变] 开辟开垦；开发创办（产业）实用化开发开创研制发展；启发,名·他动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
343,月見,つきみ,[名] 赏月，观月；赏月面,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
344,回復,かいふく,[名·自他动·サ变] 恢复；康复；挽回收复,名·自他动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
344,付き合う,つきあう,[自动·五段] 交际，来往；交往，打交道；陪伴，作陪，应酬,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
345,買い物,かいもの,[名·サ变] 买东西；要买的东西；买到的东西,名·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
345,疲れる,つかれる,[自动·一段] 累，乏；用旧，用伤,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
346,外来語,がいらいご,[名] 外来语,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
346,机,つくえ,[名] 桌子；书桌，书案；办公桌；写字台；案,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
347,会話,かいわ,[名·自动·サ变] 会话谈话，对话（两人及以上的口头交流),名·自动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
347,尽くす,つくす,[他动·五段] 为……尽力；报效；贡献力量；……光；……尽；……完；尽力， 力；达到极点,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
348,買う,かう,[他动·五段] 购买商品。也指承接或接受。；买；因自己的行为招致不好结果；主 动接受；赏识，重视，器重,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
348,作る,つくる,[他动·五段] （辛苦）耕种，栽培；作，造，制，将材料加工成其他东西（或形 状）；创造，发明，制造，生育；制定，建立，组成；书写，进行（文学艺术）创 作；编造，虚构，假装，装作；形成，排列，改变位置、配置等，形成某种形状,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
349,飼う,かう,[他动·五段] 养，饲养,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
349,付ける,つける,[他动·一段] 安上，安装上；连接上挂上；插上；缝上；穿上；带上；系上；别 上；佩带；写上，记上，注上；经常……，惯于……；用于加强语气；察觉到,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
350,帰す,かえす,[他动·五段] 使（打发）回去，让回去叫……回去,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
350,都合,つごう,[名] （某种）情况，关系理由，原因；〔状況〕方便合适（与否）；机会凑巧，顺 利（与否）；障碍；准备安排设法通融挪用调度；（注意：读音为2）总共总计,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
351,返す,かえす,[他动·五段] 报答；回答；回敬；归还，退掉；送回；翻过来,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
351,繋がる,つながる,[自动·五段] 连接，连系；排列，排队；牵连，牵涉，株连，有（血缘，亲属）关 系；被系在……上，绑；被……缠住,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
352,変える,かえる,[他动·一段] 改变，变更；变动,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
352,繋ぐ,つなぐ,[他动·五段] 绑，系，套；下狱，囚禁；接起来；维持，维系,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
353,帰る,かえる,[自动·五段] 返回最初所在的地方或回到最初的场所；回归，回来；回去，归去,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
353,呟く,つぶやく,[自动·五段] 嘟哝，嘟囔，发牢骚，唠叨，唧咕,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
354,替える,かえる,[他动·一段] 换，改换，更换,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
354,詰まらない,つまらない,[形] 无聊的，无趣的；无聊的，没意思，没兴趣的；无用的无价值的；划不来，倒 霉；不上算,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
355,顔,かお,[名] 脸；面孔；表情，面色，神色，样子；面子，脸面；人,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
355,続く,つづく,[自动·五段] 继续；连续；连绵；接连发生；继……之后，接着，跟着；连着，通 到；接得上，够用；后继，跟上，沿袭,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
356,科学,かがく,[名·サ变] 科学,名·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
356,包む,つつむ,[他动·五段] （用纸或布等）包；裹；包上；穿上；笼罩，覆盖；隐没；沉浸；藏 在心里，隐藏；隐瞒,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
357,化学,かがく,[名] 化学,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
357,伝える,つたえる,[他动·一段] 传达，转告，转达；告诉，告知；传授；让，让给；传，传给；流 传；传，传导,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
358,鏡,かがみ,[名] 模范，榜样；镜子；酒桶的盖；「鏡饼」的略称。一种扁平的圆形年糕。作为 祭品用于供奉；人贵自知。,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
358,続ける,つづける,[他动·一段] 继续，连续，接连不断；连上，连接起来；继续起来,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
359,係,かかり,[名] 担任；担任者；主管人员；股,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
359,常に,つねに,[副词] 常，时常，经常；不断；总，老,副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
360,掛かる,かかる,[自动·五段] 覆盖；（机器等）发动；垂挂，悬挂，挂上；陷入，落在……（的） 手中；着手，从事；正在进行；眼看就要，即将；花费（时间、金钱、劳动力、体 力等）,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
360,勤める,つとめる,[自他动·一段] 工作，做事；任职；修行；陪客，陪酒，作陪,自他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
361,鍵,かぎ,[名] 钥匙；锁；〔解决的〕关键,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
361,妻,つま,[名] 妻子；山墙；配菜；配偶（指代男方女方都可）,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
362,柿,かき,[名] 柿子,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
362,粒,つぶ,[名] 粒；颗粒，颗，丸，珠,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
363,限る,かぎる,[自他动·五段] 限，限定，限制；只限；顶好，最好，再好不过；《相关语法点》,自他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
363,綱,つな,"[名] 粗绳,绳索,缆；命脉,依靠,依仗；相扑的冠军",名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
364,書く,かく,[他动·五段] 记文字、记号或线条等写，画；做文章或创作作品写,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
364,土,つち,[名] 土壤，泥土；地面，地上；陆地，大地,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
365,嗅ぐ,かぐ,"[自他动·五段] 闻,嗅用鼻子感知气味；嗅出，探索探查隐蔽的事物",自他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
365,伝わる,つたわる,[自动·五段] 传开，流传；（文化、知识、风俗等从外部）传来，传入；传开；传 导；沿着,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
366,家具,かぐ,[名] 家具,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
366,潰れる,つぶれる,[自动·一段] 压坏，挤破，压碎；破产，倒闭；垮台；磨钝；磨损；聋；瞎；白白 过；错过,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
367,学者,がくしゃ,[名] 学者,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
367,詰まり,つまり,[名·副词] 归根到底总之；就是说用以加强语气，即；堵塞，充塞，爆满东西呈塞 满的现象；到头，（事物的）尽头边际止境，结尾,名·副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
368,学習,がくしゅう,[名·サ变] 学习；学习心理学上指以过去的经验为基础，掌握行为和适应的方法； 学习,名·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
368,罪,つみ,[名] 罪，罪行；刑罚，处罚；罪过，罪孽违反教义、戒律的行为；坏心眼冷酷无情,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
369,隠す,かくす,[他动·五段] 掩盖，掩饰，遮盖；藏，隐藏；躲藏；隐瞒,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
369,積む,つむ,[他动·五段] 堆积，积累；装载；积累，积攒，积蓄,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
370,学生,がくせい,[名] 学生。,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
370,爪,つめ,[名] 指甲；趾甲；爪；拨子，义甲；钩子；爪；别扣,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
371,学問,がくもん,[名·自动·サ变] 学问，学识；学业，学习；科学，学术,名·自动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
371,冷たい,つめたい,[形] 接触感时感觉温度非常低的样子；冷；凉；对对方漠不关心；冷淡；冷漠；冷 遇,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
372,隠れる,かくれる,[自动·一段] 隐藏；躲藏；隐遁，隐居；埋没；无名；隐蔽；不外露；逝世；驾崩,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
372,詰める,つめる,[他动·一段] 塞满；填满；缩小；缩短；（热心地）继续做；持续做；节约；简 省；深究；打破砂锅问到底,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
373,影,かげ,[名] 影，影子；影子；映影；形像；形迹；光,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
373,積もり,つもり,[名] 累积。重叠。；打算，意图，企图；估计，预计；就当作，就算是；宴会时最 后一杯（瓶）酒,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
374,欠け,かけ,[名] 亏，缺缺口，豁口碰豁，有豁；碎片，破片残而破的部分,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
374,積もる,つもる,[自动·五段] 积，堆积；累积，积攒，积存,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
375,掛ける,かける,[他动·一段] 挂上，悬挂；拉，挂（幕等）；戴上；蒙上；盖上；花费，花；系 上；捆上；搭上；发动，开动（机器等）；乘；撩（水）；浇；泼；倒，灌；称， 衡量；坐（在…上）；放（在…上）；课（税等）；缴（款）,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
375,梅雨,つゆ,[名] 梅雨，黄梅雨，梅雨期，梅雨季节，黄梅天。,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
376,過去,かこ,[名·副词] 过去，既往；前生，前世；<语法>过去（时）,名·副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
376,強い,つよい,[形] 强壮的；坚定的；强有力的；强烈的；擅长的；坚硬的,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
377,籠,かご,[名] 筐，篮，笼用竹、藤、铁丝等细条状物编制的用来盛东西的器物,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
377,辛い,つらい,"[形] 苦，痛苦，艰苦；难过，难受，难堪，吃不消；刻薄,苛刻,残酷；难办，难堪 苦恼",形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
378,囲む,かこむ,[他动·五段] 围上，包围，围绕；包围，围攻；〈意为聚集在棋盘等周围〉下（围 棋、将棋等）,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
378,釣る,つる,[他动·五段] 钓（鱼等）；勾引，引诱，诱骗；偶像会通过催促粉丝参加特典会、 购买周边，或在演出中给予特别回应等方式与宅粉互动。而宅粉则总是渴望“上 钩”，期待偶像的特别关注。,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
379,傘,かさ,[名] 伞,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
379,連れる,つれる,"[自他动·一段] 带，领；（常用""に連れて""的形式）伴随着；跟随",自他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
380,重ねる,かさねる,[他动·一段] 重叠地堆放；码，摞；加上，放上；反复，屡次，多次,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
380,ティッシュ,てぃっしゅ,[名] 薄的纱织品；纸巾，餐巾纸，卫生纸,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
381,飾る,かざる,[他动·五段]  粉饰、使自己表面上看起来很好；装饰，装点；打扮自己；排列 （得整齐漂亮）；润色，增光，生色,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
381,提案,ていあん,[名·サ变] 建议；提案,名·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
382,火事,かじ,[名] 火灾，失火，走火,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
382,手洗い,てあらい,[名] 洗手，洗手盆，洗手用的水；厕所，盥洗室，洗手间；手洗,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
383,賢い,かしこい,[形] 聪明，贤明；伶俐；乖；周到，不疏忽，不出漏洞,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
383,手足,てあし,[名] 手脚，手足；俯首帖耳的人，左右手,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
384,貸し出し,かしだし,[名] 出借；出租；放款，贷款,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
384,出合う,であう,"[自动·五段] 遇见,遇上,遇到,碰见,碰上,碰到,相逢.；约会；幽会.；汇合.",自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
385,貸す,かす,[他动·五段] 借给，借出，出借；贷给，贷出；租给，租出，出租；赁；帮助，提 供使用自己的智慧、知识、力量或能力为他人服务,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
385,Ｔシャツ,てぃーしゃつ,[名] T恤,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
386,滓,かす,[名] 沉淀物，渣滓；无用的东西；渣滓；糟粕,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
386,データ,でーた,[名] （作为立论根据的）事实资料；（输入计算机进行程序处理的，或从计算机中 调出的）数据形式有数字、文字和符号等,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
387,数,かず,[名] 〔数量〕数，数目；多数，多种，种种；足以一提的事物，有……价值的事 物；同伴,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
387,テーマ,てーま,[名] (德)Thema 中心思想，主题；题目，主題；（交响曲的）主旋律,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
388,風邪,かぜ,[名] 感冒；伤风,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
388,テープ,てーぷ,[名] 带。细长带状物的总称。；终点线的纸带〔细绳〕,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
389,風,かぜ,[名] 风；风气,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
389,テーブル,てーぶる,[名] 桌子，台子，饭桌，餐桌；表格，目录,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
390,数える,かぞえる,[他动·一段] 算得上，数得着确认为某一范围之内的事物；计算，数；列举，枚举,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
390,出掛ける,でかける,[自动·一段] 出去，出门，走，到……去；要出去，刚要走；刚要……,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
391,家族,かぞく,[名] 家族，家属,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
391,手紙,てがみ,[名] 信，书信，函，尺牍，书札,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
392,方,かた,[名] 方，方向，方面；位，人；地方，场所；（下多接否定语）手段，方法；时期 时分,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
392,敵,てき,[名] 敌，敌人，仇敌，对头，敌对分子；对手，敌手；障碍，大敌，有害；惯用语,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
393,肩,かた,[名] 肩，肩膀；肩；上方，上端，上角,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
393,丁寧,ていねい,[形动] 很有礼貌，恭恭敬敬；小心谨慎，周到，细心，精心；郑重，尊敬,形动,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
394,～がたい,～がたい,[文法] 难以…… 接续： 动词连用形+がたい 说明： 表示“难以……”。相对比较 偏重于说话人的自我感觉。较常见的有「忘れがたい」、「ありがたい」、「理解 しがたい」、「得がたい」等等。,文法,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
394,停留所,ていりゅうじょ,[名] 车站，停靠站公共汽车站，电车站,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
395,片仮名,かたかな,[名] 片假名,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
395,程度,ていど,[名] 程度，水平；程度，适度，限度；适度；看程度如何,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
396,固い,かたい,[形] 硬，凝固内部不松软，不易改变形态；结实紧而不宜分离；人的意志、态 度“坚定、坚决”；（规则、约定、时间等）严厉，严肃严格的，严重；执拗，固 执，顽固；可靠，有把握的一定会的，确实,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
396,手,て,[名] 手；手掌；臂，胳膊，胳臂，臂,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
397,形,かたち,[名] 外形，形状，样子；姿态，容貌，服饰；形式上的，表面上的；形式，体裁； 使成形,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
