pattern,meaning_cn,core_usage,example,source_scope,source_type,difficulty,confusable_with,notes
～というものだ,判断，一般性结论,判断，一般性结论,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第145项
～というより,比较,比较,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第146项
～といっても,补充、修正,补充、修正,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第147项
～とおり/～とおりに/～どおり/～どおりに/,与之相同；依照原样,与之相同；依照原样,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第148项
～とか,列举性并列,列举性并列,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第149项
～どころか,事实相反；程度更甚,事实相反；程度更甚,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第150项
～どころではない/～どころではなく,相反的状态,相反的状态,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第151项
～ところに/～ところへ/～ところを,状况进展的时间,状况进展的时间,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第152项
～ところだ,动作进展的阶段,动作进展的阶段,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第153项
～としたら/～とすれば/とすると,确定条件,确定条件,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第154项
～として/～としては/～としても,资格；立场,资格；立场,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第155项
～とともに,共同；同时,共同；同时,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第156项
～とのことだ,传闻；转述,传闻；转述,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第157项
～とは,定义；引用；话题提示,定义；引用；话题提示,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第158项
～とは限らない,例外,例外,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第159项
～とみえる,推测,推测,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第160项
～な,禁止全国大学日语四、六级考试大纲,禁止全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第161项
～な,感叹,感叹,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第162项
～ない,否定,否定,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第163项
～ないで,状况,状况,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第164项
～ないでください,禁止；要求,禁止；要求,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第165项
～ながら,同时；逆接,同时；逆接,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第166项
～なくてはいけない,义务、责任,义务、责任,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第167项
～なくてもいい,允许,允许,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第168项
～なければならない,义务，责任,义务，责任,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第169项
～なさい,命令；指示,命令；指示,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第170项
～など/～なんか/～なんて,例举,例举,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第171项
～なら,条件,条件,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第172项
に,场所；时间；着落点；对象；目的,场所；时间；着落点；对象；目的,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第173项
に,累加性并列,累加性并列,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第174项
～にあたって/～にあたり,（行为发生）之际，时机,（行为发生）之际，时机,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第175项
～において/～においては/～においても/～における,状况；场所；范围,状况；场所；范围,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第176项
～に応じて/～に応じ/～に応じては/～に応じても/～に応じた,依照；对应,依照；对应,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第177项
～にかかわらず/～にもかかわらず/～にかかわりなく/～にはかかわりなく,无关联，无条件,无关联，无条件,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第178项
～に限って/～に限り/～に限らず,限定,限定,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第179项
～にかけては/～にかけても,相关，有关全国大学日语四、六级考试大纲,相关，有关全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第180项
～にかわって/～にかわり,替代，代理,替代，代理,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第181项
～に関して/～に関しては/～に関しても/～に関する,相关；话题,相关；话题,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第182项
～にきまっている,强烈的断定,强烈的断定,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第183项
～にしたがって/～にしたがい,相应变化,相应变化,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第184项
～にしたら/～にすれば/～にしても,立场,立场,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第185项
～にしては,基准,基准,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第186项
～にしろ/～にしせよ/～にもせよ,让步条件；无关,让步条件；无关,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第187项
～にすぎない,限定性评价,限定性评价,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第188项
～にする,（使其发生）变化；主观决定,（使其发生）变化；主观决定,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第189项
～に相違ない,确信,确信,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第190项
～に沿って/～に沿い/～に沿う/～に沿った,遵从，依照,遵从，依照,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第191项
～に対して/～に対し/～に対しては/～に対しても/～に対する,对象；相反；比例,对象；相反；比例,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第192项
～にちがいない,断定；推测,断定；推测,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第193项
～について/～につき/～については/～についても/～についての,关联，话题,关联，话题,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第194项
～につれて/～につれ,依比例进展,依比例进展,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第195项
～にとって/～にとっては/～にとっての,立场、角度,立场、角度,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第196项
～に伴って/～に伴い/～に伴う,伴随性变化,伴随性变化,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第197项
～になる,变化结果全国大学日语四、六级考试大纲,变化结果全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第198项
～に反して/～に反し/～に反する/～に反した,相反,相反,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第199项
～にほかならない,强烈的断定,强烈的断定,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第200项
～に基づいて/～に基づき/～に基づいた,依据；基准,依据；基准,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第201项
～によって/～により/～によっては/～による/～によると/～によれば,依据；原因；手段；方法,依据；原因；手段；方法,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第202项
～にわたって/～にわたり/～にわたる/～にわたった,（时间、空间）范围,（时间、空间）范围,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第203项
～ぬ（ん）,否定,否定,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第204项
～ぬきで/～ぬきでは/～ぬきに/～ぬきには/～ぬきの,排出，除开,排出，除开,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第205项
～ね（え）,感叹；确认,感叹；确认,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第206项
の,定语；主语,定语；主语,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第207项
～の,疑问；强调,疑问；强调,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第208项
～の,形式名词,形式名词,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第209项
～の末/～の末に/～た末/～の末に/～た末の,结果,结果,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第210项
～のだ,说明；主张,说明；主张,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第211项
～ので,原因,原因,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第212项
～のに,转折,转折,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第213项
～のみならず,附加,附加,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第214项
～のもとで/～のもとに,范围全国大学日语四、六级考试大纲,范围全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第215项
は,主题；对比,主题；对比,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第216项
～ば,条件,条件,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第217项
～ば～ほど,按比例变化,按比例变化,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第218项
～ばいい,建议；愿望,建议；愿望,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第219项
～ばかり,限定；概数,限定；概数,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第220项
～ばかりか/～ばかりでなく,添加,添加,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第221项
～ばかりに,原因，理由,原因，理由,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第222项
～はずがない,不可能,不可能,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第223项
～はずだ,推断,推断,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第224项
～はともかく/～はともかくとして,搁置,搁置,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第225项
