term,reading,meaning,pos,source_scope,source_type,difficulty,notes
あの（う）,あの（う）,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
apartment,アパート,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
album,アルバム,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
暴れる,あばれる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あれ,あれ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
appeal,アヒール,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あれこれ,あれこれ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
浴びる,あびる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
泡,あわ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
危ない,あぶない,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
合わせる,あわせる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
油,あぶら,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
慌しい,あわただしい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
慌てる,あわてる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
生き生き,いきいき,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
哀れ,あわれ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
育児,いくじ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
案,あん,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
いくつ,いくつ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
案外,あんがい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
いくら,いくら,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
暗記,あんき,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
池,いけ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
法 enquête,アンケート,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
いけない,いけない,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
生け花,いけばな,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
安心,あんしん,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
意見,いけん,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
安全,あんぜん,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
以後,いご,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
安定,あんてい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
以降,いこう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
antenna,アンテナ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
equal,イコール,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あんな,あんな,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
勇ましい,いさましい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あんなに,あんなに,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
石,いし,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
あんまり,あんまり,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
意志,いし,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
維持,いじ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
意識,いしき,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
胃,い,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
苛める,いじめる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
いいえ,いいえ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
医者,いしゃ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
いい,いい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
異常,いじょう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
以上,いじょう,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
いい加減,いいかげん,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
衣食住,いしょくじゅう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
言い方,いいかた,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
意地悪,いじわる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
言い出す,いいだす,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
椅子,いす,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
委員,いいん,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
泉,いずみ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
言う,いう,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
いずれ,いずれ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
家,いえ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
以前,いぜん,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
以下,いか,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
忙しい,いそがしい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
以外,いがい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
急ぐ,いそぐ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
意外,いがい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
板,いた,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
如何,いかが,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
痛い,いたい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
医学,いがく,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
偉大,いだい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
生かす,いかす,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
抱く,いだく,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
如何にも,いかにも,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
致す,いたす,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
悪戯,いたずら,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
息,いき,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
頂く,いただく,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
意義,いぎ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
痛む,いたむ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
至る,いたる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
勢い,いきおい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
位置,いち,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
いきなり,いきなり,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
一々,いちいち,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
生き物,いきもの,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
一応,いちおう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
生きる,いきる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
苺,いちご,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
行く,いく・ゆく,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
一時,いちじ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
著しい,いちじるしい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
一段と,いちだんと,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
今,いま,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
一度（に）,いちど（に）,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
居間,いま,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
一日,いちにち,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
今に,いまに,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
市場,いちば,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
今にも,いまにも,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
一番,いちばん,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
意味,いみ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
一部,いちぶ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
image,イメージ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
一流,いちりゅう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
妹,いもうと,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
いつ,いつ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
嫌,いや,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
一家,いっか,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
いや,いや,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
いつか,いつか,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
嫌がる,いやがる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
一切,いっさい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
いよいよ,いよいよ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
一種,いっしゅ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
以来,いらい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
一瞬,いっしゅん,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
依頼,いらい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
一緒（に）,いっしょ（に）,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
いらいら,いらいら,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
一生,いっしょう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
いらっしゃる,いらっしゃる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
一生懸命,いっしょうけんめい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
入り口,いりぐち,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
一斉に,いっせいに,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
